dataset,record_type,parts,method,dtype,rows,dim,leaf_size,repeats,neighbors_per_leaf,sample_rows,k,seed,incremental_ms,cumulative_ms,leaf_count,min_leaf_size,mean_leaf_size,max_leaf_size,nn_same_partition_rate,implicit_knn_recall,implicit_cross_knn_recall,implicit_unique_degree_mean
Wiki-1M,implicit-scaffold,8,pivot-ternary,float32,1000000,768,256,2,4,4096,12,1234,156.036924,308.352380,0,0,0,0,nan,0.087443,0.159866,7.769043
Wiki-1M,implicit-scaffold,8,pivot-ternary,float32,1000000,768,256,4,4,4096,12,1234,161.576524,623.882532,0,0,0,0,nan,0.156006,0.285215,14.967285
Wiki-1M,implicit-scaffold,8,pivot-ternary,float32,1000000,768,256,8,4,4096,12,1234,154.840755,1242.006862,0,0,0,0,nan,0.254801,0.465836,28.092529
Wiki-1M,implicit-scaffold,8,pivot-ternary,float32,1000000,768,256,16,4,4096,12,1234,156.308766,2499.697242,0,0,0,0,nan,0.370361,0.677106,50.958252
Wiki-1M,implicit-scaffold,8,pivot-ternary,float32,1000000,768,256,32,4,4096,12,1234,154.737673,5026.163997,0,0,0,0,nan,0.464010,0.848317,89.026123
Wiki-1M,implicit-scaffold,128,pivot-binary,float32,1000000,768,256,1,4,4096,12,1234,99.593903,99.593903,0,0,0,0,nan,0.073608,0.097240,3.999023
Wiki-1M,implicit-scaffold,128,pivot-binary,float32,1000000,768,256,2,4,4096,12,1234,99.985506,199.579409,0,0,0,0,nan,0.131694,0.173973,7.803467
Wiki-1M,implicit-scaffold,128,pivot-binary,float32,1000000,768,256,4,4,4096,12,1234,103.771294,408.953611,0,0,0,0,nan,0.226969,0.299836,14.947266
Wiki-1M,implicit-scaffold,128,pivot-binary,float32,1000000,768,256,8,4,4096,12,1234,99.669023,813.271506,0,0,0,0,nan,0.356893,0.471470,27.918945
Wiki-1M,implicit-scaffold,128,pivot-binary,float32,1000000,768,256,16,4,4096,12,1234,100.880232,1637.122729,0,0,0,0,nan,0.510986,0.675034,50.284668
Wiki-1M,implicit-scaffold,128,pivot-binary,float32,1000000,768,256,32,4,4096,12,1234,100.606910,3265.703749,0,0,0,0,nan,0.639689,0.845056,87.523682
