dataset,record_type,parts,method,dtype,rows,dim,leaf_size,repeats,neighbors_per_leaf,sample_rows,k,seed,incremental_ms,cumulative_ms,leaf_count,min_leaf_size,mean_leaf_size,max_leaf_size,nn_same_partition_rate,implicit_knn_recall,implicit_cross_knn_recall,implicit_unique_degree_mean
YFCC-10M,implicit-scaffold,8,pivot-ternary,uint8,10000000,192,256,16,4,4096,12,1234,212.389402,3214.877055,0,0,0,0,nan,0.435628,0.507586,55.216553
YFCC-10M,implicit-scaffold,8,pivot-ternary,uint8,10000000,192,256,32,4,4096,12,1234,201.582801,6475.150611,0,0,0,0,nan,0.602498,0.702020,100.700928
YFCC-10M,implicit-scaffold,128,pivot-binary,uint8,10000000,192,256,1,4,4096,12,1234,155.297091,155.297091,0,0,0,0,nan,0.051961,0.052834,3.999756
YFCC-10M,implicit-scaffold,128,pivot-binary,uint8,10000000,192,256,2,4,4096,12,1234,158.152753,313.449844,0,0,0,0,nan,0.098267,0.099917,7.870117
YFCC-10M,implicit-scaffold,128,pivot-binary,uint8,10000000,192,256,4,4,4096,12,1234,171.123611,656.002668,0,0,0,0,nan,0.174459,0.177389,15.361084
YFCC-10M,implicit-scaffold,128,pivot-binary,uint8,10000000,192,256,8,4,4096,12,1234,159.537243,1276.311508,0,0,0,0,nan,0.296285,0.301262,29.574219
YFCC-10M,implicit-scaffold,128,pivot-binary,uint8,10000000,192,256,16,4,4096,12,1234,172.755463,2640.714401,0,0,0,0,nan,0.468302,0.476169,55.847900
YFCC-10M,implicit-scaffold,128,pivot-binary,uint8,10000000,192,256,32,4,4096,12,1234,157.566069,5324.459291,0,0,0,0,nan,0.662781,0.673914,102.243164
YFCC-10M,implicit-scaffold,128,pivot-ternary,uint8,10000000,192,256,1,4,4096,12,1234,183.176022,183.176022,0,0,0,0,nan,0.057882,0.058854,3.999756
YFCC-10M,implicit-scaffold,128,pivot-ternary,uint8,10000000,192,256,2,4,4096,12,1234,202.738050,385.914072,0,0,0,0,nan,0.104309,0.106061,7.856934
YFCC-10M,implicit-scaffold,128,pivot-ternary,uint8,10000000,192,256,4,4,4096,12,1234,188.883305,787.314860,0,0,0,0,nan,0.187012,0.190153,15.292480
YFCC-10M,implicit-scaffold,128,pivot-ternary,uint8,10000000,192,256,8,4,4096,12,1234,187.783417,1552.556795,0,0,0,0,nan,0.318176,0.323521,29.341064
YFCC-10M,implicit-scaffold,128,pivot-ternary,uint8,10000000,192,256,16,4,4096,12,1234,213.041008,3219.396772,0,0,0,0,nan,0.493530,0.501820,54.998291
YFCC-10M,implicit-scaffold,128,pivot-ternary,uint8,10000000,192,256,32,4,4096,12,1234,200.400272,6495.813810,0,0,0,0,nan,0.686890,0.698428,100.142090
YFCC-10M,implicit-native,0,native-nn-descent,uint8,10000000,192,0,1,12,4096,12,1234,47598.193495,47598.193495,0,0,0,0,nan,0.995280,nan,12
YFCC-10M,implicit-native,2,native-nn-descent,uint8,10000000,192,0,1,12,4096,12,1234,47598.193495,47598.193495,0,0,0,0,nan,0.995280,0.994912,12
YFCC-10M,implicit-native,8,native-nn-descent,uint8,10000000,192,0,1,12,4096,12,1234,47598.193495,47598.193495,0,0,0,0,nan,0.995280,0.995188,12
YFCC-10M,implicit-native,128,native-nn-descent,uint8,10000000,192,0,1,12,4096,12,1234,47598.193495,47598.193495,0,0,0,0,nan,0.995280,0.995221,12
YFCC-10M,implicit-native,0,native-nn-descent,uint8,10000000,192,0,1,32,4096,12,1234,47662.273699,47662.273699,0,0,0,0,nan,0.997498,nan,32
YFCC-10M,implicit-native,2,native-nn-descent,uint8,10000000,192,0,1,32,4096,12,1234,47662.273699,47662.273699,0,0,0,0,nan,0.997498,0.996825,32
YFCC-10M,implicit-native,8,native-nn-descent,uint8,10000000,192,0,1,32,4096,12,1234,47662.273699,47662.273699,0,0,0,0,nan,0.997498,0.997369,32
YFCC-10M,implicit-native,128,native-nn-descent,uint8,10000000,192,0,1,32,4096,12,1234,47662.273699,47662.273699,0,0,0,0,nan,0.997498,0.997476,32
YFCC-10M,implicit-native,0,native-nn-descent,uint8,10000000,192,0,1,64,4096,12,1234,49577.212468,49577.212468,0,0,0,0,nan,0.997599,nan,64
YFCC-10M,implicit-native,2,native-nn-descent,uint8,10000000,192,0,1,64,4096,12,1234,49577.212468,49577.212468,0,0,0,0,nan,0.997599,0.997260,64
YFCC-10M,implicit-native,8,native-nn-descent,uint8,10000000,192,0,1,64,4096,12,1234,49577.212468,49577.212468,0,0,0,0,nan,0.997599,0.997582,64
YFCC-10M,implicit-native,128,native-nn-descent,uint8,10000000,192,0,1,64,4096,12,1234,49577.212468,49577.212468,0,0,0,0,nan,0.997599,0.997600,64
