dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,2,k4-scaffold-cap64,float32,1000000,10000,64,128,160,5631.483222,1089.060918,144.584795,0.993667,69163.565920
Wiki-1M,8,k4-scaffold-cap64,float32,1000000,10000,64,128,160,8844.339270,1074.705593,146.360414,0.991425,68324.485609
Wiki-1M,128,k4-scaffold-cap64,float32,1000000,10000,64,128,160,90416.451858,1039.905688,149.372804,0.983783,66946.590893
OpenAI-2M,2,k4-scaffold-cap64,float32,2321096,20000,64,128,160,13408.705622,4463.085879,594.682517,0.963150,33631.390579
OpenAI-2M,8,k4-scaffold-cap64,float32,2321096,20000,64,128,160,37749.548993,4447.819804,603.949049,0.952646,33115.376261
OpenAI-2M,128,k4-scaffold-cap64,float32,2321096,20000,64,128,160,176250.637889,4226.785490,615.995467,0.912942,32467.771390
YFCC-10M,2,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,21045.649887,3176.107113,294.586739,0.987202,339458.593213
YFCC-10M,8,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,20253.586973,3161.845004,295.786388,0.978327,338081.818694
YFCC-10M,128,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,48743.804303,3026.288566,294.455116,0.950827,339610.333006
