dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,2,k4-scaffold-cap64,float32,1000000,10000,64,128,160,5615.848158,1172.777632,145.119999,0.993617,68908.490001
Wiki-1M,8,k4-scaffold-cap64,float32,1000000,10000,64,128,160,8803.171516,1145.809387,147.649382,0.990242,67728.017988
Wiki-1M,128,k4-scaffold-cap64,float32,1000000,10000,64,128,160,91105.660178,1118.782344,150.001967,0.977867,66665.792456
OpenAI-2M,2,k4-scaffold-cap64,float32,2321096,20000,64,128,160,13394.755523,4515.525554,595.931286,0.962108,33560.916283
OpenAI-2M,8,k4-scaffold-cap64,float32,2321096,20000,64,128,160,37401.562309,4488.763225,606.339026,0.948475,32984.846995
OpenAI-2M,128,k4-scaffold-cap64,float32,2321096,20000,64,128,160,173101.824497,4241.397476,619.212336,0.894842,32299.098124
YFCC-10M,2,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,21057.538138,4117.078687,294.774500,0.986804,339242.370015
YFCC-10M,8,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,20235.027591,4105.164276,297.023838,0.975277,336673.314416
YFCC-10M,128,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,49067.911719,4002.459485,295.216721,0.936270,338734.200628
