max_iters,term_thresh,ivf_sel,ivf_frac,ivf_cols,rand_cols,nn_iters,assembly_s,nndescent_s,optimize_s,build_s,search_s,recall,mean_q_recall,min_q_recall,succeeded,error_message
9,0.000100,closest,0.500000,64,64,9,0.227739,4.312819,0.599649,4.912468,0.006890,0.929500,0.929500,0.250000,1,
9,0.000100,closest,0.750000,96,32,9,0.230788,4.060563,0.604290,4.664853,0.006727,0.966583,0.966583,0.000000,1,
9,0.000100,closest,1.000000,128,0,9,0.215308,3.912047,0.602238,4.514284,0.006496,0.980250,0.980250,0.000000,1,
10,0.000100,closest,0.000000,0,128,10,0.209362,5.134015,0.613456,5.747472,0.006752,0.943417,0.943417,0.000000,1,
10,0.000100,closest,0.250000,32,96,10,0.233178,4.889491,0.603716,5.493207,0.006882,0.930000,0.930000,0.000000,1,
10,0.000100,closest,0.500000,64,64,10,0.230626,4.634702,0.596767,5.231468,0.006849,0.937500,0.937500,0.166667,1,
10,0.000100,closest,0.750000,96,32,10,0.232043,4.342226,0.608391,4.950617,0.006705,0.968583,0.968583,0.000000,1,
10,0.000100,closest,1.000000,128,0,10,0.213510,4.203106,0.604104,4.807211,0.006491,0.980583,0.980583,0.000000,1,
12,0.000100,closest,0.000000,0,128,12,0.212458,5.672334,0.600807,6.273142,0.006717,0.959667,0.959667,0.000000,1,
12,0.000100,closest,0.250000,32,96,12,0.233390,5.525777,0.595860,6.121637,0.006834,0.944500,0.944500,0.166667,1,
12,0.000100,closest,0.500000,64,64,12,0.227412,5.269517,0.608484,5.878000,0.006817,0.946667,0.946667,0.166667,1,
12,0.000100,closest,0.750000,96,32,12,0.236281,5.002619,0.604074,5.606693,0.006694,0.972083,0.972083,0.333333,1,
12,0.000100,closest,1.000000,128,0,12,0.209149,4.869905,0.613677,5.483582,0.006510,0.984000,0.984000,0.000000,1,
15,0.000100,closest,0.000000,0,128,15,0.210630,6.670788,0.606420,7.277208,0.006722,0.969583,0.969583,0.250000,1,
15,0.000100,closest,0.250000,32,96,15,0.235297,6.487684,0.607894,7.095578,0.006763,0.958250,0.958250,0.000000,1,
15,0.000100,closest,0.500000,64,64,15,0.231065,6.255498,0.606643,6.862141,0.006770,0.960667,0.960667,0.166667,1,
