dataset,parts,baseline_source,variant_source,baseline_configuration,variant_configuration,baseline_merge_seconds,variant_merge_seconds,merge_slowdown_x,baseline_recall,variant_recall,recall_delta,baseline_count_rank_le_16,variant_count_rank_le_16,count_rank_le_16_delta
Wiki-1M,2,confirmation,confirmation,k4-r2,k8-r2,0.445739639,0.487312207,1.093266482,0.992775000,0.992183000,-0.000592000,0.823685015,0.890583901,0.066898885
Wiki-1M,8,confirmation,confirmation,k4-r2,k8-r2,0.432623115,0.473848548,1.095291795,0.984942000,0.985100000,0.000158000,2.779127877,3.291850643,0.512722767
Wiki-1M,128,repeat,variant,k4-r2,k8-r2,0.398195445,0.438725321,1.101783877,0.929608000,0.936658000,0.007050000,5.390290242,7.595788553,2.205498311
OpenAI-2M,2,confirmation,confirmation,k4-r2,k8-r2,1.979178234,2.139567981,1.081038556,0.959137000,0.957079000,-0.002058000,0.927858777,0.957335888,0.029477111
OpenAI-2M,8,confirmation,confirmation,k4-r2,k8-r2,1.954337262,2.122655425,1.086125443,0.936063000,0.936388000,0.000325000,2.671890030,3.055684930,0.383794900
OpenAI-2M,128,repeat,variant,k4-r2,k8-r2,1.728889281,1.888341726,1.092228257,0.795875000,0.809242000,0.013367000,6.003963984,8.614874980,2.610910996
YFCC-10M,2,confirmation,confirmation,k4-r2,k8-r2,1.868476269,2.103995215,1.126048669,0.985234000,0.984395000,-0.000839000,1.300032342,1.362254670,0.062222328
YFCC-10M,8,confirmation,confirmation,k4-r2,k8-r2,1.847717526,2.081332540,1.126434377,0.965341000,0.965251000,-0.000090000,3.692126491,4.456780246,0.764653754
YFCC-10M,128,repeat,variant,k4-r2,k8-r2,1.751544659,1.983188613,1.132251241,0.833145000,0.848141000,0.014996000,6.742383274,10.326391474,3.584008200
