source,dataset,parts,implementation,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,configuration,merge_seconds,recall,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_count_rank_le_16,preopt_count_rank_le_32,preopt_count_rank_le_64,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,quality_sample_rows,missing_candidates,dtype,graph_degree,intermediate_graph_degree,itopk,merge_api_e2e_ms_instrumented,merge_api_ms_excluding_quality_measurement,oracle_partition_build_ms_excluded,preopt_fraction_rank_le_output_degree,qps,quality_measurement_ms,queries,rows,search_ms
repeat,YFCC-10M,128,k4-scaffold-repeat4,4,4,4,1234,0,k4-r4,2.313253791,0.916581,15.376221,13.859746,1.229858,3.067081,11.323018391958,14.09215278429,15.116593508414999,0.736398,0.91649,0.983115,65536,0,uint8,64,128,160,2313.871795,2313.253791,53531.741411,0.983115,341866.526966,0.618004,100000,10000000,292.51182
repeat,YFCC-10M,128,k4-scaffold-repeat8,8,4,4,1234,0,k4-r8,3.463417426,0.959776,29.660782,22.051654,1.149719,2.951111,13.462999289018,23.628461139186,28.565320338394002,0.453899,0.796623,0.963067,65536,0,uint8,64,128,160,3464.188231,3463.417426,53531.741411,0.963067,343336.732871,0.770805,100000,10000000,291.259252
repeat,YFCC-10M,128,k4-scaffold-repeat16,16,4,4,1234,0,k4-r16,7.032553643,0.978861,56.047821,38.535355,1.126404,3.098526,13.320605377964998,26.309856038178,47.296794468165,0.237665,0.469418,0.843865,65536,0,uint8,64,128,160,7033.689131,7032.553643,53531.741411,0.843865,341520.511199,1.135488,100000,10000000,292.808182
repeat,YFCC-10M,128,k4-scaffold-repeat32,32,4,4,1234,0,k4-r32,18.188275069,0.98617,102.778915,71.598227,1.118011,3.450661,12.10488949304,24.340410987045,48.877232480655,0.117776,0.236823,0.475557,65536,0,uint8,64,128,160,18190.379282,18188.275069,53531.741411,0.475557,343268.800218,2.104213,100000,10000000,291.316892
seed,Wiki-1M,128,k4-scaffold-seed1,2,4,4,1,0,k4-r2,0.394247554,0.929583,7.792206,15.050071,4.679474,8.442346,5.412357196716,6.829954273266001,7.650590448156,0.694586,0.876511,0.981826,65536,0,float32,64,128,160,394.928639,394.247554,95587.846848,0.981826,64921.558721,0.681085,10000,1000000,154.032038
seed,Wiki-1M,128,k4-scaffold-seed2,2,4,4,2,0,k4-r2,0.406681874,0.928842,7.796234,15.100244,4.69313,8.463757,5.394931558128,6.828417307474,7.660938155164001,0.691992,0.875861,0.982646,65536,0,float32,64,128,160,407.378479,406.681874,95587.846848,0.982646,64793.696869,0.696605,10000,1000000,154.336
seed,Wiki-1M,128,k4-scaffold-seed3,2,4,4,3,0,k4-r2,0.397041412,0.928208,7.791901,15.091299,4.721359,8.472237,5.388278755223,6.8275597484379995,7.654802501905,0.691523,0.876238,0.982405,65536,0,float32,64,128,160,397.723817,397.041412,95587.846848,0.982405,65223.287064,0.682405,10000,1000000,153.319473
seed,Wiki-1M,128,k4-scaffold-seed4,2,4,4,4,0,k4-r2,0.40571750700000003,0.927575,7.788925,15.011382,4.680435,8.437771,5.3982858276,6.8367756523,7.6601273361999995,0.693072,0.877756,0.983464,65536,0,float32,64,128,160,406.406232,405.717507,95587.846848,0.983464,65056.037482,0.688725,10000,1000000,153.713635
seed,Wiki-1M,128,k4-scaffold-seed5,2,4,4,5,0,k4-r2,0.396287287,0.928283,7.791977,15.073094,4.722733,8.49324,5.393357136136,6.832979430725,7.655407019121,0.692168,0.876925,0.982473,65536,0,float32,64,128,160,396.971052,396.287287,95587.846848,0.982473,64618.483877,0.683765,10000,1000000,154.754482
seed,Wiki-1M,128,k4-scaffold-seed6,2,4,4,6,0,k4-r2,0.407968563,0.930417,7.782761,14.971485,4.690643,8.436905,5.402286806735,6.836346131356,7.6526799326459995,0.694135,0.878396,0.983286,65536,0,float32,64,128,160,408.670167,407.968563,95587.846848,0.983286,65261.443346,0.701604,10000,1000000,153.229832
seed,Wiki-1M,128,k4-scaffold-seed7,2,4,4,7,0,k4-r2,0.400778476,0.929583,7.785706,14.891236,4.692108,8.408058,5.42838886585,6.848984354022,7.656432137576001,0.697225,0.879687,0.983396,65536,0,float32,64,128,160,401.477241,400.778476,95587.846848,0.983396,65230.128338,0.698765,10000,1000000,153.303393
seed,Wiki-1M,128,k4-scaffold-seed8,2,4,4,8,0,k4-r2,0.39683777099999995,0.926858,7.796768,15.119896,4.711426,8.479538,5.386732433824,6.838334700064,7.652130156832,0.690893,0.877073,0.981449,65536,0,float32,64,128,160,397.545695,396.837771,95587.846848,0.981449,64814.997257,0.707924,10000,1000000,154.28528
seed,Wiki-1M,128,k4-scaffold-seed9,2,4,4,9,0,k4-r2,0.400876317,0.9273,7.791809,15.167383,4.738541,8.524517,5.36738762965,6.817809499573,7.655592595062,0.68885,0.874997,0.982518,65536,0,float32,64,128,160,401.574641,400.876317,95587.846848,0.982518,65190.869674,0.698324,10000,1000000,153.395714
seed,Wiki-1M,128,k4-scaffold-seed10,2,4,4,10,0,k4-r2,0.398834104,0.928033,7.793701,15.071498,4.6866,8.459866,5.385494153206,6.8347640289600005,7.662229057831,0.691006,0.87696,0.983131,65536,0,float32,64,128,160,399.531868,398.834104,95587.846848,0.983131,64716.608141,0.697764,10000,1000000,154.519841
seed,Wiki-1M,128,k4-scaffold-seed11,2,4,4,11,0,k4-r2,0.4012906,0.927308,7.787537,15.117451,4.715851,8.47501,5.3847625464830005,6.826936523513001,7.643296239686,0.691459,0.876649,0.981478,65536,0,float32,64,128,160,401.980084,401.2906,95587.846848,0.981478,64631.464088,0.689484,10000,1000000,154.723402
seed,Wiki-1M,128,k4-scaffold-seed12,2,4,4,12,0,k4-r2,0.40531014499999996,0.931117,7.789917,15.036057,4.691635,8.444946,5.413267852719001,6.827013149547001,7.651669343001,0.694907,0.876391,0.982253,65536,0,float32,64,128,160,406.02295,405.310145,95587.846848,0.982253,64555.377036,0.712805,10000,1000000,154.905764
seed,Wiki-1M,128,k4-scaffold-seed13,2,4,4,13,0,k4-r2,0.403263611,0.93135,7.790848,15.061156,4.697647,8.468281,5.404955335936,6.8328541665280005,7.646577076736,0.693757,0.877036,0.981482,65536,0,float32,64,128,160,403.897216,403.263611,95587.846848,0.981482,65231.115506,0.633605,10000,1000000,153.301073
seed,Wiki-1M,128,k4-scaffold-seed14,2,4,4,14,0,k4-r2,0.395476322,0.926317,7.793549,15.217953,4.744675,8.522661,5.362063028136999,6.814118110071999,7.651137479122999,0.688013,0.874328,0.981727,65536,0,float32,64,128,160,396.180967,395.476322,95587.846848,0.981727,65158.450953,0.704645,10000,1000000,153.472034
seed,Wiki-1M,128,k4-scaffold-seed15,2,4,4,15,0,k4-r2,0.408981529,0.926508,7.785629,14.927895,4.643524,8.373764,5.421281399651,6.843015111341,7.653530232757,0.696319,0.878929,0.983033,65536,0,float32,64,128,160,409.648453,408.981529,95587.846848,0.983033,65175.149023,0.666924,10000,1000000,153.432714
seed,Wiki-1M,128,k4-scaffold-seed16,2,4,4,16,0,k4-r2,0.404977703,0.927042,7.796631,15.164698,4.75119,8.516914,5.3803069171110005,6.823666027617,7.65223739388,0.690081,0.875207,0.98148,65536,0,float32,64,128,160,405.665948,404.977703,95587.846848,0.98148,64567.982121,0.688245,10000,1000000,154.875523
seed,Wiki-1M,128,k4-scaffold-seed17,2,4,4,17,0,k4-r2,0.401809562,0.928942,7.789856,15.088988,4.705063,8.492092,5.393049736352,6.822799906592,7.650970657376001,0.692317,0.875857,0.982171,65536,0,float32,64,128,160,402.513007,401.809562,95587.846848,0.982171,65116.598595,0.703445,10000,1000000,153.570675
seed,Wiki-1M,128,k4-scaffold-seed18,2,4,4,18,0,k4-r2,0.40545218699999996,0.928858,7.796219,15.148131,4.704468,8.484932,5.381589643758,6.8263537639619996,7.654663051617,0.690282,0.875598,0.981843,65536,0,float32,64,128,160,406.165151,405.452187,95587.846848,0.981843,64984.758442,0.712964,10000,1000000,153.882237
seed,Wiki-1M,128,k4-scaffold-seed19,2,4,4,19,0,k4-r2,0.398886383,0.927842,7.79541,15.180543,4.743927,8.502241,5.38562270211,6.81932332767,7.64717248344,0.690871,0.874787,0.980984,65536,0,float32,64,128,160,399.593828,398.886383,95587.846848,0.980984,65061.370602,0.707445,10000,1000000,153.701035
seed,Wiki-1M,128,k4-scaffold-seed20,2,4,4,20,0,k4-r2,0.40300049,0.928933,7.787201,15.097102,4.69989,8.478195,5.395642552086,6.816830096188999,7.642561528626,0.692886,0.875389,0.981426,65536,0,float32,64,128,160,403.708095,403.00049,95587.846848,0.981426,65061.285519,0.707605,10000,1000000,153.701236
seed,Wiki-1M,128,k4-scaffold-seed21,2,4,4,21,0,k4-r2,0.402862169,0.927533,7.784607,14.97277,4.667709,8.420126,5.410885710525,6.838590418932,7.64923268427,0.695075,0.878476,0.98261,65536,0,float32,64,128,160,403.570894,402.862169,95587.846848,0.98261,64973.86488,0.708725,10000,1000000,153.908037
seed,Wiki-1M,128,k4-scaffold-seed22,2,4,4,22,0,k4-r2,0.404133098,0.92865,7.792175,15.138742,4.719528,8.503674,5.376998150925,6.818753122475,7.6550560965250005,0.690051,0.875077,0.982403,65536,0,float32,64,128,160,404.841183,404.133098,95587.846848,0.982403,64898.301312,0.708085,10000,1000000,154.087238
seed,Wiki-1M,128,k4-scaffold-seed23,2,4,4,23,0,k4-r2,0.401928284,0.927033,7.794678,15.097517,4.693146,8.448334,5.381928961236,6.833648765346,7.656875887638,0.690462,0.876707,0.982321,65536,0,float32,64,128,160,402.576608,401.928284,95587.846848,0.982321,64821.064466,0.648324,10000,1000000,154.270839
seed,Wiki-1M,128,k4-scaffold-seed24,2,4,4,24,0,k4-r2,0.410406139,0.928958,7.795395,15.103627,4.690491,8.459923,5.3917083379349995,6.82602204096,7.65498434526,0.691653,0.875648,0.981988,65536,0,float32,64,128,160,411.114543,410.406139,95587.846848,0.981988,64747.113315,0.708404,10000,1000000,154.44704
seed,Wiki-1M,128,k4-scaffold-seed25,2,4,4,25,0,k4-r2,0.408913168,0.927792,7.785858,15.053795,4.710693,8.47773,5.3971879090320005,6.826492363098001,7.645767057006,0.693204,0.876781,0.982007,65536,0,float32,64,128,160,409.609773,408.913168,95587.846848,0.982007,65229.583706,0.696605,10000,1000000,153.304673
seed,Wiki-1M,128,k4-scaffold-seed26,2,4,4,26,0,k4-r2,0.40531030500000004,0.926233,7.80069,15.359039,4.802673,8.623047,5.34519660249,6.7985041529400005,7.65423984594,0.685221,0.871526,0.981226,65536,0,float32,64,128,160,406.00783,405.310305,95587.846848,0.981226,64519.357498,0.697525,10000,1000000,154.992244
seed,Wiki-1M,128,k4-scaffold-seed27,2,4,4,27,0,k4-r2,0.40458638,0.9265,7.796112,15.321757,4.789383,8.580868,5.34341618424,6.80097728376,7.647432348048,0.685395,0.872355,0.980929,65536,0,float32,64,128,160,405.283225,404.58638,95587.846848,0.980929,65074.952419,0.696845,10000,1000000,153.668956
seed,Wiki-1M,128,k4-scaffold-seed28,2,4,4,28,0,k4-r2,0.406383271,0.927975,7.788422,15.021913,4.671494,8.424896,5.404861119542,6.832073874198,7.6504345274259995,0.693961,0.877209,0.982283,65536,0,float32,64,128,160,407.080916,406.383271,95587.846848,0.982283,64653.527372,0.697645,10000,1000000,154.670602
seed,Wiki-1M,128,k4-scaffold-seed29,2,4,4,29,0,k4-r2,0.41018449700000004,0.929133,7.787857,14.985139,4.682159,8.42334,5.418596204175,6.8354020889000005,7.65055708109,0.695775,0.8777,0.98237,65536,0,float32,64,128,160,410.886581,410.184497,95587.846848,0.98237,64799.406956,0.702084,10000,1000000,154.3224
seed,Wiki-1M,128,k4-scaffold-seed30,2,4,4,30,0,k4-r2,0.403930577,0.927,7.79686,15.289644,4.765823,8.56739,5.35383866876,6.80619876526,7.6502400477,0.686666,0.872941,0.981195,65536,0,float32,64,128,160,404.621901,403.930577,95587.846848,0.981195,64979.826331,0.691324,10000,1000000,153.893917
seed,Wiki-1M,128,k4-scaffold-seed31,2,4,4,31,0,k4-r2,0.41104286300000004,0.928667,7.78833,14.99626,4.672791,8.420807,5.41299059829,6.83610540921,7.65169932681,0.695013,0.877737,0.982457,65536,0,float32,64,128,160,411.730187,411.042863,95587.846848,0.982457,64590.352932,0.687324,10000,1000000,154.821882
seed,Wiki-1M,128,k4-scaffold-seed32,2,4,4,32,0,k4-r2,0.40385677600000003,0.929358,7.78717,14.994118,4.674728,8.414497,5.41119541262,6.834627791259999,7.65024040272,0.694886,0.877678,0.982416,65536,0,float32,64,128,160,404.550901,403.856776,95587.846848,0.982416,64617.765273,0.694125,10000,1000000,154.756203
seed,Wiki-1M,128,k4-scaffold-seed1234,2,4,4,1234,0,k4-r2,0.404168977,0.929875,7.784622,15.05849,4.688721,8.482121,5.391387873918,6.824887092108,7.64675634438,0.692569,0.876714,0.98229,65536,0,float32,64,128,160,404.877462,404.168977,95587.846848,0.98229,65086.371307,0.708485,10000,1000000,153.641996
seed,OpenAI-2M,128,k4-scaffold-seed1,2,4,4,1,0,k4-r2,1.695313218,0.790725,7.939804,13.63898,2.710663,6.165169,5.88522091892,7.029005263748,7.801540253143999,0.74123,0.885287,0.982586,65536,0,float32,64,128,160,1696.087543,1695.313218,191571.057074,0.982586,31849.932393,0.774325,20000,2321096,627.944818
seed,OpenAI-2M,128,k4-scaffold-seed2,2,4,4,2,0,k4-r2,1.726620456,0.795333,7.935455,13.213092,2.604568,5.975349,5.97319155851,7.082258684765001,7.81043984193,0.752722,0.892483,0.984246,65536,0,float32,64,128,160,1727.337301,1726.620456,191571.057074,0.984246,31848.382488,0.716845,20000,2321096,627.975377
