scope,dataset,parts,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_seed,varying,samples,metric,metric_field,quality_direction,pearson,spearman
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,count rank <= 32,preopt_count_rank_le_32,1,0.794715818,0.638368984
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,count rank <= 64,preopt_count_rank_le_64,1,0.601380377,0.424465241
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,unique scaffold degree,unique_scaffold_degree_mean,1,-0.734233070,-0.700769013
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,all-edge mean rank,preopt_candidate_rank_mean,-1,0.514416533,0.535806804
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,best-edge mean rank,preopt_best_candidate_rank_mean,-1,0.469083178,0.458594470
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,best-four mean rank,preopt_top4_candidate_rank_mean,-1,0.428065606,0.432857025
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,fraction rank <= 16,preopt_fraction_rank_le_16,1,0.590828463,0.590457092
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,fraction rank <= 32,preopt_fraction_rank_le_32,1,0.414953688,0.339433443
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,fraction rank <= 64,preopt_fraction_rank_le_64,1,0.268155885,0.275591210
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,count rank <= 16,preopt_count_rank_le_16,1,0.593022251,0.601153173
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,count rank <= 32,preopt_count_rank_le_32,1,0.364726989,0.255368932
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,count rank <= 64,preopt_count_rank_le_64,1,-0.093919408,-0.081223365
seed-sweep,Wiki-1M,128,2,4,,scaffold_seed,33,unique scaffold degree,unique_scaffold_degree_mean,1,-0.420093492,-0.421158186
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,all-edge mean rank,preopt_candidate_rank_mean,-1,0.886796735,0.898395722
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,best-edge mean rank,preopt_best_candidate_rank_mean,-1,0.847090307,0.795120321
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,best-four mean rank,preopt_top4_candidate_rank_mean,-1,0.886377919,0.853275401
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,fraction rank <= 16,preopt_fraction_rank_le_16,1,0.911699036,0.909759358
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,fraction rank <= 32,preopt_fraction_rank_le_32,1,0.859311152,0.876671123
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,fraction rank <= 64,preopt_fraction_rank_le_64,1,0.611257389,0.533756684
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,count rank <= 16,preopt_count_rank_le_16,1,0.914994748,0.907754011
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,count rank <= 32,preopt_count_rank_le_32,1,0.838888796,0.848596257
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,count rank <= 64,preopt_count_rank_le_64,1,0.329711183,0.288435829
seed-sweep,YFCC-10M,128,2,4,,scaffold_seed,33,unique scaffold degree,unique_scaffold_degree_mean,1,-0.586290996,-0.556818182
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,all-edge mean rank,preopt_candidate_rank_mean,-1,-0.665636022,-1.000000000
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,best-edge mean rank,preopt_best_candidate_rank_mean,-1,0.972743847,1.000000000
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,best-four mean rank,preopt_top4_candidate_rank_mean,-1,0.962891272,0.752380952
repeat-sweep-mean,mean,,,,,scaffold_repeats,18,count rank <= 16,preopt_count_rank_le_16,1,0.968284217,0.733333333
