dataset,parts,dtype,rows,queries,physical_rebuild_merge_ms,physical_rebuild_recall,physical_rebuild_qps,fastener_oracle_partition_build_ms_excluded,fastener_merge_ms,fastener_merge_speedup_vs_binary_x,fastener_merge_slowdown_vs_repeat2_x,fastener_search_ms,fastener_recall,fastener_recall_delta_vs_binary,fastener_recall_delta_vs_repeat2,fastener_qps,fastener_qps_delta_vs_binary_pct,fastener_repeat8_oracle_partition_build_ms_excluded,fastener_repeat8_merge_ms,fastener_repeat8_merge_speedup_vs_binary_x,fastener_repeat8_merge_slowdown_vs_repeat2_x,fastener_repeat8_search_ms,fastener_repeat8_recall,fastener_repeat8_recall_delta_vs_binary,fastener_repeat8_recall_delta_vs_repeat2,fastener_repeat8_qps,fastener_repeat8_qps_delta_vs_binary_pct,fastener_repeat16_oracle_partition_build_ms_excluded,fastener_repeat16_merge_ms,fastener_repeat16_merge_speedup_vs_binary_x,fastener_repeat16_merge_slowdown_vs_repeat2_x,fastener_repeat16_search_ms,fastener_repeat16_recall,fastener_repeat16_recall_delta_vs_binary,fastener_repeat16_recall_delta_vs_repeat2,fastener_repeat16_qps,fastener_repeat16_qps_delta_vs_binary_pct,fastener_repeat32_oracle_partition_build_ms_excluded,fastener_repeat32_merge_ms,fastener_repeat32_merge_speedup_vs_binary_x,fastener_repeat32_merge_slowdown_vs_repeat2_x,fastener_repeat32_search_ms,fastener_repeat32_recall,fastener_repeat32_recall_delta_vs_binary,fastener_repeat32_recall_delta_vs_repeat2,fastener_repeat32_qps,fastener_repeat32_qps_delta_vs_binary_pct,baseline_oracle_partition_build_ms_excluded,binary_cross_query_merge_ms,binary_cross_query_search_ms,binary_cross_query_recall,binary_cross_query_qps
OpenAI-2M,16,float32,2321096,20000,12685.437343,0.967943333,34312.426431,39812.228003,1935.524662,104.112720,1.000000,616.718631,0.911338000,-0.059754000,0.000000000,32429.699696,-0.102299,39947.068495,4738.201559,42.529372,2.448019,613.976806,0.945400000,-0.025692000,0.034062000,32574.520413,0.343812,40387.951657,8777.607078,22.957594,4.535001,614.566687,0.956054000,-0.015038000,0.044716000,32543.254334,0.247499,40002.336911,18427.959603,10.935163,9.520912,608.953806,0.961533000,-0.009559000,0.050195000,32843.213726,1.171505,39646.368592,201512.737628,616.087731,0.971092000,32462.909085
OpenAI-2M,32,float32,2321096,20000,12685.437343,0.967943333,34312.426431,62098.818393,1896.397660,131.829040,1.000000,621.063116,0.880946000,-0.088425000,0.000000000,32202.846192,0.014645,62826.827096,4702.678449,53.161254,2.479796,614.666801,0.938850000,-0.030521000,0.057904000,32537.953843,1.055413,63217.290212,8743.260223,28.593485,4.610457,614.082804,0.953300000,-0.016071000,0.072354000,32568.897663,1.151517,63139.120592,18368.962805,13.609929,9.686240,608.023599,0.961250000,-0.008121000,0.080304000,32893.460111,2.159533,62379.824684,250000.283646,621.154072,0.969371000,32198.130708
OpenAI-2M,64,float32,2321096,20000,12685.437343,0.967943333,34312.426431,107010.363775,1835.990941,161.308563,1.000000,624.950579,0.841708000,-0.125592000,0.000000000,32002.530555,-0.185504,106075.005457,4644.724489,63.762891,2.529819,616.269133,0.930950000,-0.036350000,0.089242000,32453.353460,1.220593,107400.690182,8678.790510,34.124693,4.727033,614.541211,0.950937000,-0.016363000,0.109229000,32544.603424,1.505198,106577.483656,18303.151771,16.180878,9.969086,607.295918,0.960617000,-0.006683000,0.118909000,32932.874085,2.716197,107188.711901,296161.060423,623.791270,0.967300000,32062.006895
OpenAI-2M,128,float32,2321096,20000,12685.437343,0.967943333,34312.426431,195630.272473,1714.001970,196.709208,1.000000,628.176870,0.796325000,-0.169333000,0.000000000,31838.166853,-0.372520,196949.755313,4543.682998,74.204114,2.650921,617.001035,0.923763000,-0.041895000,0.127438000,32414.856484,1.432048,197438.349804,8599.177648,39.208397,5.017017,613.803686,0.948258000,-0.017400000,0.151933000,32583.707880,1.960415,195130.706232,18242.498309,18.482116,10.643219,607.271867,0.960129000,-0.005529000,0.163804000,32934.178392,3.057102,196375.048073,337159.970492,625.836785,0.965658000,31957.213892
YFCC-10M,2,uint8,10000000,100000,23685.115764,0.988694000,350600.347919,21861.381635,1865.593067,15.537872,1.000000,292.657702,0.985442000,-0.005855000,0.000000000,341696.115689,-0.721968,22076.803010,3549.637235,8.166284,1.902686,290.582204,0.986589000,-0.004708000,0.001147000,344136.697373,-0.012870,22625.387301,6989.033471,4.147547,3.746280,293.972063,0.987155000,-0.004142000,0.001713000,340168.378517,-1.165844,22071.539864,18170.080702,1.595334,9.739573,292.468892,0.986254000,-0.005043000,0.000812000,341916.705453,-0.657877,21799.309133,28987.346311,290.544806,0.991297000,344180.993550
YFCC-10M,4,uint8,10000000,100000,23685.115764,0.988694000,350600.347919,21191.679043,1862.114880,31.089487,1.000000,291.640414,0.978555000,-0.012697000,0.000000000,342888.005913,0.141799,21313.057722,3560.749238,16.258431,1.912207,290.310562,0.983782000,-0.007470000,0.005227000,344458.704193,0.600528,21210.377386,7036.470416,8.227448,3.778752,291.623166,0.985863000,-0.005389000,0.007308000,342908.285962,0.147722,21534.921511,18204.472632,3.180108,9.776235,291.475005,0.986638000,-0.004614000,0.008083000,343082.591250,0.198629,21234.469042,57892.195926,292.053958,0.991252000,342402.481667
YFCC-10M,8,uint8,10000000,100000,23685.115764,0.988694000,350600.347919,21803.877139,1843.338957,46.983404,1.000000,294.442976,0.965417000,-0.025343000,0.000000000,339624.335274,-0.267843,21974.812931,3547.313657,24.414627,1.924396,289.548756,0.978972000,-0.011788000,0.013555000,345364.978878,1.417922,21906.226258,7053.055418,12.279265,3.826239,291.935689,0.984073000,-0.006687000,0.018656000,342541.195777,0.588706,21798.489633,18054.961583,4.796817,9.794705,292.641974,0.986294000,-0.004466000,0.020877000,341714.480097,0.345937,21720.854514,86606.338770,293.654331,0.990760000,340536.438402
YFCC-10M,16,uint8,10000000,100000,23685.115764,0.988694000,350600.347919,24463.269399,1845.194651,62.639721,1.000000,293.285048,0.946694000,-0.043654000,0.000000000,340965.216883,0.283923,24371.383378,3529.471325,32.747816,1.912791,289.962520,0.974358000,-0.015990000,0.027664000,344872.157960,1.433024,24304.002978,7045.244281,16.405745,3.818158,290.266316,0.982533000,-0.007815000,0.035839000,344511.210870,1.326863,24509.854520,18220.947872,6.343385,9.874811,290.273197,0.986328000,-0.004020000,0.039634000,344503.044144,1.324461,24347.747570,115582.478633,294.117753,0.990348000,339999.877532
YFCC-10M,32,uint8,10000000,100000,23685.115764,0.988694000,350600.347919,30481.496696,1834.811802,78.366292,1.000000,291.928937,0.917483000,-0.072194000,0.000000000,342549.118384,1.274107,30516.276739,3535.318365,40.671697,1.926802,288.997327,0.968962000,-0.020715000,0.051479000,346023.961668,2.301439,30459.245291,7011.561635,20.507186,3.821406,290.896641,0.980832000,-0.008845000,0.063349000,343764.711948,1.633495,30508.969097,18163.978787,7.916074,9.899641,289.821624,0.986040000,-0.003637000,0.068557000,345039.816629,2.010478,30470.558815,143787.396631,295.648423,0.989677000,338239.585333
YFCC-10M,64,uint8,10000000,100000,23685.115764,0.988694000,350600.347919,39527.734350,1759.082624,97.845208,1.000000,292.423718,0.876776000,-0.112282000,0.000000000,341969.525194,1.029237,39621.881836,3466.097746,49.657516,1.970401,288.918126,0.963894000,-0.025164000,0.087118000,346118.817066,2.255076,39584.922054,6972.286440,24.685992,3.963592,289.435342,0.979677000,-0.009381000,0.102901000,345500.308667,2.072348,39455.006177,18093.564206,9.512653,10.285796,288.530735,0.986012000,-0.003046000,0.109236000,346583.527748,2.392367,39518.769641,172117.804726,295.433450,0.989058000,338485.706341
YFCC-10M,128,uint8,10000000,100000,23685.115764,0.988694000,350600.347919,53818.603202,1747.442192,115.360821,1.000000,291.876063,0.833433000,-0.155026000,0.000000000,342611.171921,1.488055,53916.935449,3446.964048,58.482294,1.972577,287.445716,0.959641000,-0.028818000,0.126208000,347891.773764,3.052271,53593.447063,7008.339836,28.763783,4.010628,289.804864,0.978945000,-0.009514000,0.145512000,345059.770977,2.213377,53767.584160,18135.670089,11.115463,10.378409,288.253372,0.986153000,-0.002306000,0.152720000,346917.017158,2.763530,53631.781804,201586.366340,296.219339,0.988459000,337587.681944
